epoca,treino_loss,treino_acc,val_loss,val_acc
1,4.253043933022819,0.24315572564027083,3.54773619105515,0.3969795037756203
2,3.1087096445624325,0.5007359434795408,2.9294260260613862,0.5706580366774542
3,2.5307864321657303,0.6647041507212246,2.4910066168928093,0.6677454153182308
4,2.0901389495393685,0.7792169561377686,2.1834125328475475,0.7432578209277239
5,1.7226482314645173,0.8719458345599058,1.8745215007273768,0.8101402373247033
6,1.4364775717170721,0.9240506329113924,1.6971911130213815,0.8457389428263214
7,1.1881039141555867,0.9614365616720636,1.4870577402485228,0.8770226537216829
8,0.9986201285052587,0.9796879599646747,1.3414207738065669,0.8921251348435815
9,0.8316007776052629,0.9911686782455107,1.2268516441250568,0.9093851132686084
10,0.6995088388753492,0.9973506034736532,1.1077904865836892,0.924487594390507
11,0.5897844477474672,0.9988224904327347,1.041490537127502,0.9331175836030206
12,0.5070138854386703,0.9991168678245511,0.9436253637171872,0.9385113268608414
13,0.4310706894924825,0.9997056226081837,0.9100880095616642,0.9471413160733549
14,0.37109006339043143,1.0,0.846362338804247,0.9449838187702265
15,0.32645135284487836,1.0,0.8144359267773881,0.9471413160733549
16,0.2881317940886876,1.0,0.7664302332244387,0.9471413160733549
17,0.25325563984265353,1.0,0.7295763253394069,0.9503775620280475
18,0.22330223238394475,1.0,0.6724704295686148,0.9546925566343042
19,0.20241373952852126,1.0,0.6428009267763798,0.9579288025889967
20,0.1809551736029029,1.0,0.6156077180801215,0.9557713052858684
21,0.1626462326142449,1.0,0.599548702165404,0.9568500539374326
22,0.15028432283571336,1.0,0.5754922434864436,0.9611650485436893
23,0.1361523748391651,1.0,0.5711175125843756,0.9600862998921251
24,0.13838271197059906,0.9985281130409185,0.5541359344989608,0.9590075512405609
25,0.1179503571260737,1.0,0.53006092874492,0.9579288025889967
26,0.10711413269222643,1.0,0.48940852274786695,0.9600862998921251
27,0.10062866442372667,1.0,0.5084537261898078,0.9579288025889967
28,0.09008435673807733,1.0,0.46673055010834685,0.9611650485436893
29,0.08782153407510393,1.0,0.47109326858479356,0.9611650485436893
30,0.07989838682520835,1.0,0.45977895612855557,0.9600862998921251
31,0.07346111124566207,1.0,0.45164836025289473,0.9600862998921251
32,0.06841342685448622,1.0,0.41953252099992905,0.9622437971952535
33,0.06413445065293132,1.0,0.42652495028581694,0.9590075512405609
34,0.0601360066773297,1.0,0.430601315623091,0.9644012944983819
35,0.05472946187170386,1.0,0.42097846162229163,0.9633225458468176
36,0.054902609048396445,1.0,0.40809985783107844,0.9622437971952535
37,0.05028063613314961,1.0,0.4054691292739352,0.9633225458468176
38,0.046370584433275984,1.0,0.39813332494344267,0.9633225458468176
39,0.04335686366172759,1.0,0.3922618342545426,0.9622437971952535
40,0.04119605760311849,1.0,0.3864869856975868,0.9611650485436893
41,0.03897502175281425,1.0,0.3773668713168419,0.9665587918015103
42,0.0369622012227993,1.0,0.3575436591362619,0.9633225458468176
43,0.03456877174186538,1.0,0.3576335110324872,0.9611650485436893
44,0.03366630488427064,1.0,0.3531434806998108,0.9600862998921251
45,0.030685647400926764,1.0,0.34484560538521347,0.9600862998921251
46,0.029365724804192948,1.0,0.3502244938570833,0.9633225458468176
47,0.027976257145878564,1.0,0.3440259145462269,0.9633225458468176
48,0.02666059946150579,1.0,0.3372790169979505,0.9633225458468176
49,0.02555477257279533,1.0,0.3388709782782496,0.9633225458468176
50,0.024015699269528033,1.0,0.3167658707502719,0.9654800431499461
