epoca,treino_loss,treino_acc,val_loss,val_acc
1,2.572190991763411,0.6245689655172414,0.8424454646482786,0.912267657992565
2,0.475531528735983,0.9603448275862069,0.3328376390233802,0.9784386617100371
3,0.20747173356598822,0.98125,0.2582540182929943,0.9784386617100371
4,0.1354071363035975,0.9855603448275863,0.23620931110085164,0.9762081784386617
5,0.10091808544921464,0.9885775862068965,0.223103301420974,0.9769516728624535
6,0.07868393922931162,0.9920258620689655,0.22135849604210003,0.9776951672862454
7,0.06387598089359958,0.993103448275862,0.220680616973972,0.9754646840148699
8,0.05589171667294256,0.9935344827586207,0.21476540047135273,0.9769516728624535
9,0.04803311345006885,0.99375,0.214432913983123,0.9739776951672863
10,0.04447180566474281,0.9948275862068966,0.21135263798488338,0.9732342007434944
11,0.040012200812584366,0.9946120689655172,0.21302399465945795,0.9754646840148699
12,0.03635474054528207,0.9950431034482758,0.21625179364224792,0.9724907063197026
13,0.0308544821812418,0.9954741379310345,0.21845313505906624,0.9747211895910781
14,0.029620313560911295,0.9954741379310345,0.215236518970521,0.9732342007434944
15,0.030004521926608064,0.9959051724137931,0.22087851836325317,0.9739776951672863
